selected_file,scanned_residues,reported_variants,completeness,completeness_group
urn-mavedb-00001011-a-1.scores.csv,28,491,0.8767857142857143,0.8 ≤ c < 0.9
urn-mavedb-00000318-a-1.scores.csv,66,1448,1.096969696969697,c > 1
urn-mavedb-00000234-0-1.scores.csv,42,1467,1.7464285714285714,c > 1
urn-mavedb-00000282-0-1.scores.csv,52,2587,2.4875,c > 1
urn-mavedb-00000341-0-1.scores.csv,64,3160,2.46875,c > 1
urn-mavedb-00000589-a-2.scores.csv,43,1284,1.4930232558139536,c > 1
urn-mavedb-00000267-a-1.scores.csv,67,3529,2.6335820895522386,c > 1
urn-mavedb-00000162-0-1.scores.csv,68,1495,1.099264705882353,c > 1
urn-mavedb-00000442-0-1.scores.csv,64,1390,1.0859375,c > 1
urn-mavedb-00000073-h-1.scores.csv,267,5533,1.0361423220973782,c > 1
urn-mavedb-00000327-0-1.scores.csv,71,3728,2.6253521126760564,c > 1
urn-mavedb-00000592-a-2.scores.csv,43,1284,1.4930232558139536,c > 1
urn-mavedb-00000908-a-1.scores.csv,89,1590,0.8932584269662921,0.8 ≤ c < 0.9
urn-mavedb-00000962-a-1.scores.csv,56,957,0.8544642857142857,0.8 ≤ c < 0.9
urn-mavedb-00000755-a-1.scores.csv,39,676,0.8666666666666667,0.8 ≤ c < 0.9
urn-mavedb-00000073-g-1.scores.csv,267,5533,1.0361423220973782,c > 1
urn-mavedb-00000587-a-2.scores.csv,43,930,1.0813953488372092,c > 1
urn-mavedb-00000232-0-1.scores.csv,56,2281,2.036607142857143,c > 1
urn-mavedb-00000235-0-1.scores.csv,58,1630,1.4051724137931034,c > 1
urn-mavedb-00000601-a-1.scores.csv,43,925,1.0755813953488371,c > 1
urn-mavedb-00000280-a-1.scores.csv,67,1469,1.096268656716418,c > 1
urn-mavedb-00000824-a-1.scores.csv,79,1540,0.9746835443037974,0.9 ≤ c < 1
urn-mavedb-00000338-0-1.scores.csv,70,3343,2.387857142857143,c > 1
urn-mavedb-00001168-a-1.scores.csv,56,1075,0.9598214285714286,0.9 ≤ c < 1
urn-mavedb-00000703-a-1.scores.csv,49,931,0.95,0.9 ≤ c < 1
urn-mavedb-00000141-0-1.scores.csv,57,1247,1.093859649122807,c > 1
urn-mavedb-00000521-a-1.scores.csv,40,864,1.08,c > 1
urn-mavedb-00000658-p-1.scores.csv,1,781,39.05,c > 1
