train_size,train_RMSE,train_MAE,train_R2,train_r,test_size,test_RMSE,test_MAE,test_R2,test_r,gene_id,cut_percent
653,0.16741663234086743,0.1288467120481999,0.8038859923023843,0.9232759156506329,164,0.2570989136640951,0.19647442622296754,0.4477287675768703,0.6766078696752938,718,0.2
572,0.14620437714330062,0.11227441872345331,0.8343158208868798,0.9347930111700369,143,0.2640176666016707,0.19954815766544023,0.5037810085807153,0.7155384011904343,718,0.3
872,0.02776256754027957,0.016294731989111712,0.9903010262051665,0.9957959609078189,219,0.14624951569766678,0.10970879958879934,0.7699601106892651,0.8802142587193993,687,0.1
776,0.02395200020927198,0.013059729368914285,0.9918151105365891,0.996420199544939,194,0.13343823496707188,0.09671426619110134,0.728720184901767,0.8536952948037221,687,0.2
679,0.005491901116169163,0.002060791367754627,0.9994894182018773,0.999763755313328,170,0.1203016207419885,0.08640647866861847,0.751947622381955,0.8700447747855874,687,0.3
985,0.07317563462249625,0.052857738966128893,0.960105622040367,0.9837344168062432,247,0.2378272204646534,0.1817888119768403,0.5683171534380618,0.7543593312991848,659,0.1
876,0.08182489336730829,0.06038830721595777,0.9453386509695614,0.9781530356253367,219,0.19875678082251058,0.15399734926446726,0.6450245174931118,0.8054365981297034,659,0.2
766,0.057323918692625465,0.03995504414063756,0.9695030245144167,0.987997612929781,192,0.18328994338487561,0.14617601039787895,0.6726337260407826,0.8236320211259377,659,0.3
855,0.06103316083966489,0.04025245014951652,0.959453892441541,0.983681446802709,214,0.21233230349541446,0.15296473908510624,0.5539102904552258,0.7494644000733749,660,0.1
760,0.030832462404837342,0.017348801711263566,0.9856231615430177,0.9944423877653789,190,0.1806417397148967,0.13027403655870334,0.4406185721589171,0.6639358111326099,660,0.2
664,0.04479638988019918,0.02546442975235929,0.9541364077130756,0.9845293309579725,167,0.18528804597184254,0.13566126599943196,0.45706581064259444,0.7089351793767548,660,0.3
752,0.04457389733289631,0.028917411714067028,0.9741334552044376,0.9897582996032366,188,0.19327462965133715,0.13717869140500188,0.5253107622318904,0.7251645891826018,587,0.1
668,0.0683492791316177,0.04616074704360403,0.9346135683398793,0.9736673675080855,168,0.1806352864001866,0.12867639486693866,0.5717496701733322,0.7566369383959857,587,0.2
584,0.06517803536164389,0.042194781051768854,0.9393108830617177,0.9750552623586585,147,0.17880715039315076,0.13086069564457462,0.5389020752387684,0.739379619193456,587,0.3
902,0.10283985717381332,0.07656319620276555,0.9074762314492177,0.9625944261975845,226,0.23045681918914798,0.18069793919457444,0.5596686195641611,0.7495793731983739,948,0.1
802,0.01308905674945889,0.0056438277287236965,0.9984331601841143,0.9993155754421715,201,0.21964355180083295,0.17012909775088833,0.5630624130094715,0.7530306699792169,948,0.2
702,0.0841204491318161,0.061547277577096375,0.9341151755114685,0.9730310074897643,176,0.21149703200608894,0.16690308189221045,0.5396618170536465,0.7346215695760134,948,0.3
135,0.05446343827550293,0.03731803740808918,0.9605027777766234,0.984467665240205,34,0.1660399145163941,0.12194408555973543,0.7138260427922214,0.8612263805623701,995,0.1
120,0.0327116976942497,0.022498309336301717,0.9785223175663917,0.9923081644705096,30,0.2114418135880315,0.15615137996776662,0.5093456788149389,0.7921208499362372,995,0.2
104,0.1790187190857503,0.11953820476419723,0.3874759429350899,0.7872318208699901,27,0.08866157489966905,0.07324775157308164,0.21248392948025907,0.6103643922884417,995,0.3
724,0.01098779749910198,0.003992134585174255,0.9986765026848098,0.9994051554757155,181,0.15842546687893547,0.1204831885700004,0.7230035787862563,0.8514367438304435,888,0.1
643,0.010830273334014064,0.0030843892564774464,0.9985877425902722,0.9993522903802842,161,0.16916818380112691,0.12311383251442701,0.6635383678072627,0.8160664819673179,888,0.2
563,0.011161532370511732,0.0028294296806305958,0.9984692409470393,0.9992883221062671,141,0.15411776441440894,0.11945778667981409,0.6332036141715283,0.7973630513252579,888,0.3
957,0.13274865615848688,0.10327946954611296,0.8301994734259267,0.9347960584718873,240,0.24886388125486728,0.19714752140385874,0.4549100101233672,0.6782463195876769,717,0.1
851,0.086368173221059,0.06521421377870625,0.9201321958800106,0.9699494302075952,213,0.24385761579988446,0.19191593869453613,0.43217653762885055,0.6574589368383777,717,0.2
744,0.0898723860926167,0.06851520061708473,0.9073714561814126,0.9665671365023071,187,0.2267259791561009,0.17778201999132412,0.46782053144891467,0.6863215397202224,717,0.3
608,0.03528812299586867,0.023733957284287264,0.9844172538851121,0.9938483160100451,153,0.19133839301238945,0.14738748452717335,0.6199823784325892,0.7883852004894666,1005,0.1
540,0.049697885621015105,0.03610040365653154,0.9644004616750445,0.9856910423980361,136,0.18428546876189886,0.14454598748926,0.6152269393145219,0.796166790205344,1005,0.2
473,0.02956487803269812,0.01999575155254161,0.987517696592291,0.9949076027091707,119,0.15553386135625727,0.11766628012367192,0.6138876157831479,0.7842308966045565,1005,0.3
701,0.044420915445531214,0.02746012371946738,0.9801856427126693,0.9908220292427659,176,0.16808166145779566,0.11839429598225074,0.7575809162077509,0.8713210258837716,939,0.1
