gene_id,urn,N_mutations_per_position,vefill-min_pears,vefill-max_pears
69,urn:mavedb:00000045-d-1,10,0.855276245,0.8764748083
69,urn:mavedb:00000045-d-1,11,0.8599552713,0.8845231859
69,urn:mavedb:00000045-d-1,12,0.8517010485,0.8849310884
69,urn:mavedb:00000045-d-1,13,0.8943760355,0.8802518795
69,urn:mavedb:00000045-d-1,14,0.8860551705,0.882046613
69,urn:mavedb:00000045-d-1,15,0.8794349313,0.882151129
69,urn:mavedb:00000045-d-1,16,0.8878779409,0.8938255346
69,urn:mavedb:00000045-d-1,17,0.8887583489,0.8885030654
69,urn:mavedb:00000045-d-1,18,0.8819921399,0.8872593454
69,urn:mavedb:00000045-d-1,20,0.8853662069,0.8872548426
72,urn:mavedb:00000045-g-1,1,0.2930378794,0.2616773553
72,urn:mavedb:00000045-g-1,2,0.7133983892,0.6705467464
72,urn:mavedb:00000045-g-1,3,0.7921952141,0.7766568505
72,urn:mavedb:00000045-g-1,4,0.8267326061,0.8303190864
72,urn:mavedb:00000045-g-1,5,0.8156518666,0.840875917
72,urn:mavedb:00000045-g-1,6,0.8326404883,0.8377662721
72,urn:mavedb:00000045-g-1,7,0.8471715585,0.8749174084
72,urn:mavedb:00000045-g-1,8,0.8622895903,0.872721415
72,urn:mavedb:00000045-g-1,9,0.8636037172,0.8759384008
72,urn:mavedb:00000045-g-1,10,0.8776536478,0.8724852278
72,urn:mavedb:00000045-g-1,11,0.8696321205,0.8790480229
72,urn:mavedb:00000045-g-1,12,0.8859179716,0.9003396861
72,urn:mavedb:00000045-g-1,13,0.8913925576,0.8883493444
72,urn:mavedb:00000045-g-1,14,0.8871544082,0.8920226766
72,urn:mavedb:00000045-g-1,15,0.8789098239,0.8991023691
72,urn:mavedb:00000045-g-1,16,0.8858645405,0.8933328394
72,urn:mavedb:00000045-g-1,17,0.8907753635,0.9026614927
72,urn:mavedb:00000045-g-1,18,0.8912669288,0.9016707716
72,urn:mavedb:00000045-g-1,20,0.8831438072,0.9006269113
73,urn:mavedb:00000045-i-1,1,0.2331936307,0.1721496746
73,urn:mavedb:00000045-i-1,2,0.5554153454,0.7112238097
73,urn:mavedb:00000045-i-1,3,0.7086565118,0.7560390492
73,urn:mavedb:00000045-i-1,4,0.7405016767,0.8224831311
73,urn:mavedb:00000045-i-1,5,0.7515207651,0.8612851245
73,urn:mavedb:00000045-i-1,6,0.798311944,0.849529997
73,urn:mavedb:00000045-i-1,7,0.8200981704,0.8610695436
73,urn:mavedb:00000045-i-1,8,0.817459061,0.8671798705
73,urn:mavedb:00000045-i-1,9,0.8061319005,0.8855247307
73,urn:mavedb:00000045-i-1,10,0.8350046309,0.8929558207
73,urn:mavedb:00000045-i-1,11,0.8480597643,0.8908927558
73,urn:mavedb:00000045-i-1,12,0.8389958582,0.9002781999
73,urn:mavedb:00000045-i-1,13,0.8385767859,0.8951728077
73,urn:mavedb:00000045-i-1,14,0.8502502941,0.8895193128
73,urn:mavedb:00000045-i-1,15,0.8418929052,0.8924426709
73,urn:mavedb:00000045-i-1,16,0.8546207303,0.9033242841
73,urn:mavedb:00000045-i-1,17,0.8556438695,0.8956067701
73,urn:mavedb:00000045-i-1,18,0.8583356954,0.9039675158
73,urn:mavedb:00000045-i-1,20,0.8556492264,0.898667867
75,urn:mavedb:00000045-k-1,1,0.1381050058,0.6667717831
75,urn:mavedb:00000045-k-1,2,0.5913274233,0.7482038086
75,urn:mavedb:00000045-k-1,3,0.7062630781,0.816887835
75,urn:mavedb:00000045-k-1,4,0.7147116878,0.8211108109
75,urn:mavedb:00000045-k-1,5,0.7708117234,0.8323189352
75,urn:mavedb:00000045-k-1,6,0.749151018,0.8309508627
75,urn:mavedb:00000045-k-1,7,0.7968526841,0.8352422932
75,urn:mavedb:00000045-k-1,8,0.7903951947,0.8437418482
75,urn:mavedb:00000045-k-1,9,0.7852739736,0.8528354648
75,urn:mavedb:00000045-k-1,10,0.7923406332,0.8467557298
75,urn:mavedb:00000045-k-1,11,0.8130137332,0.8532899294
75,urn:mavedb:00000045-k-1,12,0.784822279,0.8593931474
75,urn:mavedb:00000045-k-1,13,0.7973445995,0.868999639
75,urn:mavedb:00000045-k-1,14,0.7984599301,0.8701338513
75,urn:mavedb:00000045-k-1,15,0.8249130709,0.8693974864
75,urn:mavedb:00000045-k-1,16,0.8354308398,0.8636425031
75,urn:mavedb:00000045-k-1,17,0.8289889782,0.8670338385
75,urn:mavedb:00000045-k-1,18,0.8163035997,0.8668969934
75,urn:mavedb:00000045-k-1,20,0.8175891227,0.8683151354
76,urn:mavedb:00000045-l-1,1,0.1105186649,0.08857586021
76,urn:mavedb:00000045-l-1,2,0.4334529045,0.5233104802
76,urn:mavedb:00000045-l-1,3,0.1705077052,0.5458325904
76,urn:mavedb:00000045-l-1,4,0.4825056418,0.5915089498
76,urn:mavedb:00000045-l-1,5,0.4940734112,0.6521139255
76,urn:mavedb:00000045-l-1,6,0.4854495535,0.647430949
76,urn:mavedb:00000045-l-1,7,0.5527716754,0.7240935153
76,urn:mavedb:00000045-l-1,8,0.544720853,0.7014821995
76,urn:mavedb:00000045-l-1,9,0.5473713954,0.7125135175
76,urn:mavedb:00000045-l-1,10,0.5639077552,0.6895339545
76,urn:mavedb:00000045-l-1,11,0.5673963031,0.6987520095
76,urn:mavedb:00000045-l-1,12,0.5659663534,0.7030649457
76,urn:mavedb:00000045-l-1,13,0.5661786332,0.7095472167
76,urn:mavedb:00000045-l-1,14,0.5640901376,0.7130797464
76,urn:mavedb:00000045-l-1,15,0.5745328923,0.7190455464
76,urn:mavedb:00000045-l-1,16,0.5714846677,0.7178125182
76,urn:mavedb:00000045-l-1,17,0.5704372508,0.7298769776
76,urn:mavedb:00000045-l-1,18,0.5784849068,0.7346010303
76,urn:mavedb:00000045-l-1,20,0.5691105507,0.7350949917
80,urn:mavedb:00000047-b-1,1,0.1065571081,
80,urn:mavedb:00000047-b-1,2,0.2450951411,
80,urn:mavedb:00000047-b-1,3,0.264797006,
80,urn:mavedb:00000047-b-1,4,0.3645934782,
80,urn:mavedb:00000047-b-1,5,0.3545103719,
80,urn:mavedb:00000047-b-1,6,0.3815261365,
80,urn:mavedb:00000047-b-1,7,0.4429875861,
80,urn:mavedb:00000047-b-1,8,0.4121385441,
80,urn:mavedb:00000047-b-1,9,0.4551321801,
80,urn:mavedb:00000047-b-1,10,0.4459410243,
80,urn:mavedb:00000047-b-1,11,0.4547506104,
80,urn:mavedb:00000047-b-1,12,0.4919624547,
80,urn:mavedb:00000047-b-1,13,0.49645485,
80,urn:mavedb:00000047-b-1,14,0.495552819,
80,urn:mavedb:00000047-b-1,15,0.4875941309,
80,urn:mavedb:00000047-b-1,16,0.5108663776,
80,urn:mavedb:00000047-b-1,17,0.4971466798,
80,urn:mavedb:00000047-b-1,18,0.5103548158,
80,urn:mavedb:00000047-b-1,20,0.49844765,
81,urn:mavedb:00000047-c-1,1,0.2334328245,
81,urn:mavedb:00000047-c-1,2,0.2844505066,
81,urn:mavedb:00000047-c-1,3,0.3998455591,
81,urn:mavedb:00000047-c-1,4,0.3819686192,
81,urn:mavedb:00000047-c-1,5,0.4481949206,
81,urn:mavedb:00000047-c-1,6,0.5162282588,
81,urn:mavedb:00000047-c-1,7,0.4852490754,
81,urn:mavedb:00000047-c-1,8,0.4896874023,
81,urn:mavedb:00000047-c-1,9,0.5052795086,
81,urn:mavedb:00000047-c-1,10,0.4994083275,
81,urn:mavedb:00000047-c-1,11,0.5359892,
81,urn:mavedb:00000047-c-1,12,0.531593553,
81,urn:mavedb:00000047-c-1,13,0.5418513682,
81,urn:mavedb:00000047-c-1,14,0.5450979368,
81,urn:mavedb:00000047-c-1,15,0.5417785618,
81,urn:mavedb:00000047-c-1,16,0.5426949414,
81,urn:mavedb:00000047-c-1,17,0.5636906817,
81,urn:mavedb:00000047-c-1,18,0.5697007457,
81,urn:mavedb:00000047-c-1,20,0.5539473508,
82,urn:mavedb:00000047-a-1,1,0.2560535202,
82,urn:mavedb:00000047-a-1,2,0.3299881621,
82,urn:mavedb:00000047-a-1,3,0.4064574795,
82,urn:mavedb:00000047-a-1,4,0.400953946,
82,urn:mavedb:00000047-a-1,5,0.5328260131,
82,urn:mavedb:00000047-a-1,6,0.5452429459,
82,urn:mavedb:00000047-a-1,7,0.5456188945,
82,urn:mavedb:00000047-a-1,8,0.5765923803,
82,urn:mavedb:00000047-a-1,9,0.5946987412,
82,urn:mavedb:00000047-a-1,10,0.5762808858,
82,urn:mavedb:00000047-a-1,11,0.6014686656,
82,urn:mavedb:00000047-a-1,12,0.6176096005,
82,urn:mavedb:00000047-a-1,13,0.6192695357,
82,urn:mavedb:00000047-a-1,14,0.6113557197,
82,urn:mavedb:00000047-a-1,15,0.630009408,
82,urn:mavedb:00000047-a-1,16,0.6318202755,
82,urn:mavedb:00000047-a-1,17,0.6266465594,
82,urn:mavedb:00000047-a-1,18,0.6292738996,
82,urn:mavedb:00000047-a-1,20,0.6315940329,
83,urn:mavedb:00000048-a-1,1,0.1998258078,
83,urn:mavedb:00000048-a-1,2,0.3457720256,
83,urn:mavedb:00000048-a-1,3,0.3580605667,
83,urn:mavedb:00000048-a-1,4,0.4195820013,
83,urn:mavedb:00000048-a-1,5,0.4879771123,
83,urn:mavedb:00000048-a-1,6,0.5140841105,
83,urn:mavedb:00000048-a-1,7,0.5424633104,
83,urn:mavedb:00000048-a-1,8,0.5664133387,
83,urn:mavedb:00000048-a-1,9,0.5879554866,
