,completeness,repeat,dms_id,pred_score,envision_pred,fdms_pred,lasso_pred,row-mean_pred,wu2019_pred,vefill-min_pred,vefill-max_pred,vefill-min_pears_dyn_mean,vefill-max_pears_dyn_mean,5nn-blosum100_pears_any,5nn-blosum100_pears_3to5,5nn-blosum100_pears_5,5nn-functional_pears_any,5nn-functional_pears_3to5,5nn-functional_pears_5
842,0.4,0,urn:mavedb:00000096-a-1,0.6199776913,0.5797274279,0.5397757479,0.526652015,0.5826250452,0.576502133,0.6667429696,0.6677442463,0.6396082383,0.6384330916,0.5641080963,0.5684564215,0.5630660061,0.5598609415,0.5641088285,0.5584710644
203,0.4,0,urn:mavedb:00000106-a-1,-0.2013264377,-0.05778059815,-0.1612559953,-0.1061757899,0.01273148778,-0.02810978062,0.06469818933,,0.05242492528,,0.03157396322,0.03157396322,0.05053944885,0.4195867591,0.4195867591,0.8050329017
1008,0.4,0,urn:mavedb:00000106-b-1,-0.3044418552,-0.1599933379,-0.1351297634,-0.04221845692,-0.1644113002,0.353260126,0.7302015422,,0.720257702,,0.2061966018,0.2061966018,0.2061966018,0.6903837589,0.6903837589,0.6903837589
828,0.4,0,urn:mavedb:00000106-c-1,-0.09255580161,0.02230220684,-0.06048112163,0.138368039,-0.1565050176,0.1102051282,0.7221100311,,0.7232392333,,-0.03763966705,-0.03763966705,-0.05263563401,0.7830124311,0.7830124311,0.8074928109
1343,0.5,0,urn:mavedb:00000001-a-3,0.5447850199,0.4496021358,0.5241626744,0.4399063371,0.495252511,0.5137973885,0.5930943961,,0.5617497173,,0.5431688803,0.5452988031,0.5494730199,0.6244099178,0.6308229925,0.6381365951
743,0.5,0,urn:mavedb:00000001-b-2,0.6210593783,0.6177109675,0.5749813157,0.5277186612,0.6254088849,0.6203776181,0.7356817479,,0.7179966244,,0.5491236673,0.5491236673,0.5424257726,0.667251962,0.667251962,0.6686382982
1173,0.5,0,urn:mavedb:00000041-b-1,0.1499451295,0.1236246004,-0.04312158693,0.05389648599,0.06827629992,0.004083421328,0.2962012464,,0.3173724895,,0.6422109801,0.6422109801,0.6422109801,0.8456719189,0.8456719189,0.8456719189
492,0.5,0,urn:mavedb:00000043-a-1,0.2839745349,0.2715914792,0.1377461695,0.1533936248,0.4103049995,0.4356697396,0.6350598301,0.5183308488,0.6475999616,0.5122989698,0.6083157569,0.5648925668,0.5648925668,0.7864256253,0.7662671932,0.7662671932
208,0.5,0,urn:mavedb:00000045-c-1,0.8100788903,0.7561610208,0.6837533319,0.7191315004,0.4300209386,0.4458792768,0.8470260577,0.8837812101,0.8446706211,0.8947141479,0.5350629015,0.5454036014,0.6088438325,0.6426713145,0.6560348713,0.7093110852
930,0.5,0,urn:mavedb:00000045-d-1,0.8749282159,0.8700605995,0.779946065,0.7931933666,0.6170906883,0.6892076629,0.8703557261,0.877136853,0.8680180929,0.8774515214,0.6639916573,0.66638005,0.6647402263,0.7413990731,0.7434892874,0.7711288601
