,Unnamed: 0,dms_id,repeat,envision_spear,envision_pears,envision_rmse,wu2019_spear,wu2019_pears,wu2019_rmse,lasso_spear,lasso_pears,lasso_rmse,fdms_spear,fdms_pears,fdms_rmse,row-mean_spear,row-mean_pears,row-mean_rmse,ensemble_spear,ensemble_pears,ensemble_rmse,vefill-max_spear,vefill-max_pears,vefill-max_rmse,vefill-min_spear,vefill-min_pears,vefill-min_rmse,5nn-blosum100_pears,5nn-functional_pears
555,555,urn:mavedb:00000078-b-1,0,0.8127052497,0.8329250613,0.1994240137,0.6871680222,0.7152154351,0.2587915772,0.8005124289,0.8201891523,0.2055485447,0.7910875168,0.821752271,0.2109167361,0.5996402132,0.6069210781,0.2818542557,0.8299595635,0.855246,0.1844078249,,0.8372782419,0.193660446,,0.8294839999,0.2022449793,0.7063680384,0.8032669853
231,231,urn:mavedb:00000081-a-2,0,0.2533505246,0.4553593991,0.2261043608,0.2119283369,0.4033420329,0.2415787028,0.1688113685,0.3798891847,0.2357332429,0.1452947116,0.2273438294,0.2898188394,0.2031534945,0.3787819505,0.238764485,0.2071625169,0.4859870365,0.2229626347,,0.3743289633,0.2191155547,,0.7189111265,0.1869564046,0.3537726663,0.3540905852
270,270,urn:mavedb:00000094-a-2,0,0.3949896318,0.5502375648,0.3650125428,0.3915233726,0.529589983,0.3724090787,0.3566378136,0.4167512946,0.3989189466,0.3422902978,0.4006317889,0.4499664912,0.3692942392,0.5037188148,0.3837693779,0.4219974639,0.5702053023,0.3603486197,,0.6537579688,0.3793986532,,0.6382686183,0.3969858832,0.459292197,0.5011155237
699,699,urn:mavedb:00000094-a-3,0,0.2333303356,0.3693144439,0.1991107971,0.2793935516,0.4382674599,0.2050506091,0.2186988233,0.2797367351,0.2057839514,0.1028731567,0.1956083971,0.3855446351,0.346868091,0.4618218382,0.191637225,0.2859459394,0.4021605733,0.1975143496,,0.6369258332,5.85889874,,0.5153296166,5.43238155,0.4343066952,0.4772365412
516,516,urn:mavedb:00000096-a-1,0,0.6660585976,0.6402633922,0.3339138099,0.6321012925,0.5977389216,0.3475017383,0.6815842338,0.6533983918,0.3298931333,0.6587342199,0.6452110148,0.3324289688,0.6508090084,0.6287461047,0.3408091238,0.6921263259,0.6709802783,0.3228635017,,0.6805038871,0.5951548926,,0.6796361436,0.5546996155,0.5981624329,0.6170121142
136,136,urn:mavedb:00000099-a-1,0,0.5931372549,0.6043570399,0.4590488114,0.4975490196,0.5359538006,0.4932888645,0.2398540315,0.3852196016,0.5450122966,-0.06023384313,-0.04432010442,0.8303728331,0.2466381406,0.4144288542,0.5660763816,0.6176470588,0.6171328735,0.4535308769,,0.7898423273,0.5698053671,,0.857412739,0.451113234,0.8340068701,0.8332557802
333,333,urn:mavedb:00000102-0-1,0,0.6042038401,0.6292418024,0.2214128205,0.6376559721,0.6763213692,0.2144207956,0.6636489914,0.6761044441,0.2112002862,0.6342339344,0.636603045,0.2246428361,0.6447899787,0.6668017342,0.2133127198,0.6790756053,0.7088373521,0.2006969655,,0.7132936576,0.2191119656,,0.7484924616,0.2188334801,0.6251196921,0.6640566378
3,3,urn:mavedb:00000106-a-1,0,0.3195842975,0.07297248613,0.2125091542,0.2871062185,0.01318373859,0.2418987628,-0.1909090909,0.08242977268,0.4256015092,-0.1311688312,-0.108328156,0.3297837998,0.02943176232,0.02916961896,0.2574304326,0.04415584416,0.08710598471,0.2259992595,,-0.06718315177,0.3099764514,,0.5665367703,0.3202078704,0.2554146588,0.9500048037
651,651,urn:mavedb:00000106-b-1,0,0.3623376623,0.173443584,0.1088772914,0.4012987013,0.1521235951,0.154066292,0.03376623377,0.1424437845,0.1655123977,-0.01818181818,-0.1517745258,0.1693028355,0.4068123591,0.02481059038,0.1807688074,0.1922077922,-0.004003447437,0.153226508,,0.2322973362,0.1319082044,,0.7811197818,0.195447422,0.3791237806,0.8827929273
512,512,urn:mavedb:00000106-c-1,0,0.4902474886,0.1736504074,0.08048903181,0.5760733089,0.2556717501,0.1211259488,0.004566218789,0.2432955775,0.1162415725,0.02600782433,-0.08268473906,0.1114908146,0.6463766495,0.04777985986,0.1479101486,0.4941486623,0.2096692416,0.08879133979,,0.2345666771,0.06709506761,,0.819825445,0.1768200623,0.6759241909,0.9695394544
