gene_id,train_size,train_rmse,train_mae,train_r2,train_r,test_size,test_rmse,test_mae,test_r2,test_r
720,1124,0.02895162619368642,0.007279723968052954,0.9898742896806974,0.9953130755997908,282,0.1833604982220511,0.11931542571822559,0.6328918204679526,0.7957926879133749
674,987,0.06021719760523522,0.03984206015301603,0.9720351350438168,0.9872820075939058,247,0.14792733260923452,0.09996013597375819,0.833498823292122,0.9137854688616018
909,860,0.047123328302671456,0.023746428112949674,0.9705517966284526,0.9876491612863944,216,0.1676748108029837,0.10331780360844621,0.6174006180523832,0.787074368388173
825,1357,0.029674160831281785,0.018526608865356377,0.9898192458521964,0.9956819211895768,340,0.14686331436070707,0.10024665082055098,0.7514103401751393,0.8697183950309495
598,733,0.03138766845985173,0.022266735972717628,0.9905439879743283,0.9962754270626478,184,0.21169770791677037,0.16622183302774074,0.6125229060875992,0.7890227529633571
913,731,0.1060831983551565,0.07861508556119884,0.9120419427464245,0.9621795881275736,183,0.2143132307846307,0.16583973818594577,0.6424473278630991,0.802825497085392
937,881,0.08151346446874547,0.05744085117005879,0.9247996712440915,0.9660249727261551,221,0.18402336784335446,0.12164700591347027,0.6642512420225454,0.8184506720787665
585,1015,0.11336912430413268,0.08761190018327919,0.887936543264804,0.9544248806476177,254,0.21320376447038783,0.16710774702020678,0.5704951145173613,0.7565760995210683
900,1056,0.02355750565731845,0.01498252073537192,0.9962249071694095,0.9983918591225924,265,0.18900662801393847,0.14215440037911786,0.7358869782382021,0.857975428000262
827,819,0.048829982314597946,0.034692875155039625,0.9819276430887992,0.9924048970326627,205,0.20202226652688135,0.15292511677448695,0.6644214048517715,0.8151673748050448
877,365,0.15543914722888483,0.10866052536105372,0.8061549173717341,0.9133245200614596,92,0.265640120651304,0.20055069065208828,0.49375709316538974,0.7047959973311181
925,990,0.0846913105704288,0.06028307402297065,0.9464900398176381,0.9769383877999736,248,0.22281732484228595,0.16604137800359234,0.6138477853444562,0.7843856845349974
844,795,0.11617848415821835,0.0830182748795812,0.8546132631082151,0.9404036638289882,199,0.21271152629928192,0.1575000110981954,0.545170184109379,0.7402971541905894
595,796,0.0070662168103577455,0.002773409321084877,0.9995692718427863,0.9998037455853431,199,0.21673388826965112,0.17481945840986496,0.6098344429436795,0.7841013390084333
965,1443,0.044789476289069416,0.031540877912724925,0.98641139880028,0.9946040122236234,361,0.22778674643275792,0.18107163539852894,0.6210586745173264,0.7882832661402472
917,564,0.059956460315645846,0.04307185192821773,0.9634611520566729,0.9859904124746298,142,0.19914777968655129,0.15503028242591882,0.5110371786165677,0.7165042165443387
623,1121,0.08680643091332811,0.051140719482323085,0.9135026126090965,0.9642950427499954,281,0.2067785840174829,0.14136461810630882,0.42572752725453666,0.657219103215563
972,995,0.06054491801083602,0.03613855391025567,0.959743058683646,0.9816226935247576,249,0.1255332132107793,0.0806511464822513,0.806297941007019,0.901895124343506
555,896,0.006564832059265233,0.002477775112126841,0.999613498350558,0.9998168637809188,225,0.14970912296401753,0.109488626657305,0.7883535695426621,0.8887357713295434
922,972,0.03488110205207698,0.02070967742113771,0.989314949744887,0.9955010991919121,244,0.1952798493749496,0.1408564571112723,0.708401597797733,0.8459975501354091
797,886,0.017398423901633854,0.01198070965082697,0.9970166439205543,0.99873167281698,222,0.19619939379974707,0.14993235752691203,0.692797528669535,0.8330628428510598
855,829,0.11309754324079885,0.08364926764324927,0.8905007655051266,0.9516208983980153,208,0.19943305161153033,0.15675695178546387,0.6226325790155245,0.7932519003125771
634,587,0.04511593825295175,0.024173772543381482,0.9763612876427877,0.99012180061017,147,0.16792389105389358,0.12107110686244688,0.7249277755115622,0.8557467827593903
794,991,0.01930436122056343,0.009075670977638657,0.9967011054920043,0.998472282535962,248,0.14350761270632154,0.1010513910480426,0.8125291193616602,0.901422558236101
887,816,0.1461194720698037,0.10962632049696708,0.8232646842078618,0.9225252077425075,205,0.23742892546588126,0.17491097845648235,0.5805634977686285,0.7637689998969048
911,816,0.09308898894511028,0.07020723575046485,0.9292676346976498,0.9699281133353801,205,0.2277508502418911,0.17099154278393638,0.5076592759406833,0.7161573823066738
805,900,0.017682771081401864,0.007175932892246932,0.9944960294972806,0.9975686961231438,226,0.14061661168952647,0.0850505272857346,0.7316333157996409,0.8574263714280849
918,484,0.0986223157919501,0.07252284711952174,0.917593185684561,0.96790810199121,121,0.22443449232338478,0.1763760038835379,0.5747487306007277,0.7651649474251263
875,824,0.11219317470098622,0.08126430545740194,0.8752848426152573,0.9430652890327085,206,0.19356515305962307,0.1478850929920718,0.6478102657620667,0.8098924005040926
602,792,0.008889944808864559,0.003269590648265823,0.9992851487155647,0.9996627317877219,198,0.16929655845325864,0.11700773880587678,0.757152350329653,0.8707012717319146
915,757,0.02942380372509236,0.018443931632398592,0.9929985293613159,0.9970861043189323,190,0.25107632246160894,0.19334667847087672,0.4733366893145603,0.7036078705959026
782,832,0.04163816994413898,0.030523638242626067,0.9857667450787788,0.9941889918770823,208,0.25603879441078836,0.18751300844352936,0.45442543623644105,0.6758525149624182
684,1356,0.04920479871731366,0.031005049573078078,0.9809994593800275,0.9914914090813953,339,0.16813895722690606,0.11976806013395759,0.7880037636341672,0.8894434085143914
789,619,0.14045476010003224,0.10691285250796047,0.8433900172852853,0.9352966612082806,155,0.25046826019143115,0.19417376716614235,0.4366342660586686,0.6653539294476705
737,1126,0.024802393194703204,0.015238565614424377,0.9945732266123556,0.9976368372512713,282,0.17206917175072547,0.12736647608956705,0.7280233147661332,0.8541737284713921
667,817,0.0181484848184324,0.009246039925968116,0.9961670314414018,0.9983867121565992,205,0.204924709047562,0.14530999716139517,0.6126601618491507,0.7960317835494827
881,604,0.05432850986821509,0.03325448884847587,0.9597767412620406,0.981447196334827,152,0.12529360537750261,0.09534237784315505,0.6858521939594503,0.831284884272371
963,1276,0.02118850122358224,0.012992261004527252,0.9961674733520726,0.9983461868089848,320,0.1942274970357714,0.1474430379861986,0.6733806703457301,0.8216378145873569
785,751,0.045058205513468154,0.032134857773711695,0.9849309856953938,0.9938854940875778,188,0.24630369251057485,0.19803143129694628,0.5597880577807612,0.7584034505638281
665,1260,0.1707646454491641,0.12301642520975123,0.8108986130571514,0.925344712023247,316,0.30936790931381686,0.23142880616048692,0.4522594648699121,0.6773088473765119
914,747,0.08727236747039045,0.06576117240636416,0.9355331497376089,0.9717870423826458,187,0.21120254780029282,0.16269593864451382,0.6374808520791122,0.7984958451925651
635,854,0.136629059910915,0.09995591226014501,0.8693910576979429,0.9478637776648615,214,0.2609484074127271,0.21022945229850473,0.5387017038787794,0.7391103397853178
668,855,0.02816763152495448,0.016619912111830053,0.9919220422649624,0.996692458643095,214,0.17018288247894345,0.12182349297671786,0.759311877042492,0.8750329573986543
698,333,0.14706047775272363,0.11084519658097071,0.8484176669496564,0.9368506645111468,84,0.22570363847986707,0.1773334892828951,0.5933384096898001,0.7838705494106647
740,757,0.1119149106004522,0.0829744891445235,0.8899225642209667,0.9505506487027175,190,0.2059998591211618,0.1589892247140164,0.6463652304438543,0.8049780476302869
597,864,0.04301051176618061,0.025427368718447713,0.9834135958683534,0.9935013834005509,217,0.2683207260409589,0.20687523735646782,0.41721405426035396,0.6483644015090627
891,978,0.050148328726039824,0.029610689528802973,0.9701149912973843,0.9858955055839582,245,0.14431961588308806,0.08780017706247523,0.7342905827975734,0.8581610074783352
847,792,0.10984737639178498,0.0753038964500116,0.8819392257052869,0.9475191468027228,199,0.1869709510948017,0.13460720485059263,0.6133983790451556,0.7840384991332634
1045,328,0.10917617271569788,0.08246262002786062,0.8865761488206225,0.9509331161547344,83,0.2258872845478905,0.16739268283235903,0.5088830431882132,0.7276490248181671
927,953,0.027606607084750618,0.017645005877428125,0.992193414410321,0.9970985412112885,239,0.23982507566698477,0.181177905915898,0.46758112469480195,0.6890897287020206
928,985,0.11111126221935529,0.08249849019861065,0.8841315189686054,0.9478152786006591,247,0.21286770300842278,0.15567515789485697,0.5480900401134375,0.7419045882449742
685,917,0.07914122916454437,0.05097918749957797,0.9465480455169963,0.9787667039539171,230,0.22729011896406784,0.16269963874918592,0.48303115419142384,0.706374937498411
683,1100,0.11615597782184334,0.08429474900685108,0.8712186285209982,0.9454282535232736,276,0.19638102792036216,0.14583303559371547,0.6011289581364774,0.775839071364618
632,1026,0.030993915208865738,0.018057151710739065,0.986393114752986,0.9941410048120085,257,0.1636520136663233,0.11421260366981198,0.685243225440161,0.8285669100285756
779,1194,0.016959460693078292,0.005152924619485717,0.9976381144247192,0.9988676314094102,299,0.17647989269304362,0.12843949514087954,0.7568477299505385,0.8713158352923678
945,1140,0.026766989821217307,0.017133409722161364,0.9929976389010644,0.9970657345420988,286,0.18244311569089872,0.13201757547583468,0.7066158286581481,0.8426094795626156
766,1091,0.03934949974810609,0.023331869989146495,0.9864610334557743,0.9941832225810073,273,0.20361004013711256,0.15839647097154422,0.632738018914259,0.7979933562952397
