train_size,train_RMSE,train_MAE,train_R2,train_r,test_size,test_RMSE,test_MAE,test_R2,test_r,gene_id
592,0.03332494862099835,0.021558301024520218,0.9897846609427939,0.9957170795286914,816,0.1857126073849492,0.13491229722793605,0.6983404610498342,0.8358627793767325,737
441,0.056706315516990104,0.03742696343133741,0.9633448570380345,0.9852122748548897,581,0.19718223820333444,0.14819371677978388,0.5808453420344353,0.7622213815872982,667
314,0.0577973863713403,0.034188282154247455,0.9491885522765051,0.978635980128918,442,0.14321326946447,0.10734880121114848,0.7098839214402444,0.8447814969139096,881
705,0.007862716463969011,0.002388024994024159,0.9994274943145404,0.9997296393763552,891,0.2141088353808366,0.15932231595876306,0.6280317989798712,0.7957797075938984,963
416,0.007640056705265923,0.003330485808576671,0.9995417121844216,0.9998066345252031,523,0.25699915214155217,0.20409510148246982,0.5367655228941393,0.7360254672829214,785
645,0.16301522575100888,0.11414800737716851,0.8146926272321882,0.931481528284851,931,0.30127121863558565,0.22780915565497004,0.4546522730037489,0.6843489464876649,665
406,0.03822292598700494,0.026369447014203715,0.9869981004005041,0.9947329905950681,528,0.2276006201553664,0.17673472211660943,0.5709993322209006,0.7588794689915859,914
447,0.007585644799613368,0.003575264760483852,0.9995601674343659,0.9998189513897011,621,0.2841542095977234,0.21727241612720274,0.47066145929405157,0.6870253784361192,635
463,0.031864786896191516,0.01732506951650248,0.9881945125020623,0.9951256857321618,606,0.2095381221059093,0.14836048538449778,0.6141922209730238,0.7845978104548752,668
188,0.07365581798427674,0.05449350333195147,0.9474470370326139,0.9802229274715966,229,0.31359008558573925,0.2485109187732423,0.4125623741048964,0.6572263959393622,698
385,0.09352572118167647,0.07222505717381489,0.9131787028311624,0.9625925201315015,562,0.217823365028963,0.1676435415347396,0.6175848546851708,0.7859991516925077,740
436,0.14169024506881678,0.10921810485049745,0.8124306346430329,0.925366078235468,645,0.2753127402278739,0.21532635318948184,0.35342820668514474,0.6034704135596293,597
