gene_id_out,train_size,train_RMSE,train_MAE,train_R2,train_r,test_size,test_RMSE,test_MAE,test_R2,test_r
595,139174,0.16649356784172087,0.12269705978958972,0.7675948632286447,0.8785927311315348,995,0.21857687829652886,0.1709120942479676,0.5911244734409686,0.7718555558047262
965,138365,0.17736307991077158,0.1305609998578134,0.7352529987138993,0.859251609371322,1804,0.24730694559086136,0.18989551161125295,0.5797057192068054,0.7629091130599142
917,139463,0.1726570898566709,0.127222259514574,0.7504829045946815,0.8683916250035592,706,0.20081502044395974,0.15503117161380434,0.5752715839970572,0.759134573372398
623,138767,0.18061613996712364,0.13304571967989018,0.7269339828068477,0.8542870678607025,1402,0.19890857258757635,0.13820945053009254,0.532216030937815,0.7308221589340125
972,138925,0.1596158318243001,0.11784615923948569,0.7869567383552903,0.8900216914737884,1244,0.12745576661057356,0.08621094631550766,0.8177477422450374,0.9078043882475387
555,139048,0.14981213976999785,0.11046043357311994,0.8120839096745704,0.9045637189200723,1121,0.16231949338244747,0.12104885899194699,0.761388193450564,0.8745869312808965
922,138953,0.16676659627122656,0.12288677894837087,0.7670217600639309,0.8782539408774805,1216,0.19721460112193615,0.14503057165205205,0.6689454169553248,0.8205481667701723
797,139061,0.15699568501777322,0.11571336324127608,0.7935481163747133,0.8938829180113083,1108,0.17719085720527425,0.13645719834796388,0.7044864335126033,0.8395453945440713
855,139132,0.1416740888672405,0.1044332535616863,0.8318985406419752,0.9158215425792402,1037,0.18530689134343034,0.14065934216948928,0.7001685080562641,0.8371494643824722
634,139435,0.15884247525481784,0.11709203101375809,0.7889035783129044,0.8911319166598476,734,0.16653601262401058,0.11770648242765393,0.6898000515484877,0.8309168940975464
794,138930,0.14156105863215848,0.10446398573689697,0.8322036351664684,0.9160318716646279,1239,0.14446537122168024,0.10073373284777087,0.8142724896717574,0.904286072536164
887,139148,0.18771116346223668,0.13820433957531145,0.7047314692948555,0.8412692885169462,1021,0.2281346781454105,0.1747307974236701,0.5787298411606319,0.7607767891907975
911,139148,0.141355766749219,0.10418626434203011,0.8326006005735647,0.9162214155932371,1021,0.19863370982902406,0.15158567993565752,0.6686292033425436,0.8201205178040734
805,139043,0.15439392404847913,0.11397048622164838,0.8006853747191889,0.898010901503713,1126,0.13682032064605723,0.08907688030358855,0.6892610966783075,0.8315669521725337
918,139564,0.1520615995519268,0.11208444517534455,0.8062935071713844,0.901176550049054,605,0.23463881078367285,0.18375880257789573,0.5338852894407868,0.731322996138036
875,139139,0.17868088732845322,0.1315362823071678,0.7328082109393372,0.8578270939926644,1030,0.18375942258491945,0.1386390897187081,0.6695937348064631,0.8183297037435124
602,139179,0.16758412327564742,0.123504176259156,0.7648124073755496,0.8769497481187365,990,0.16092934209706392,0.11658027151269483,0.7691435705295636,0.8770517630417412
915,139222,0.14165557995007588,0.10431823345498287,0.8316943669373191,0.9157068507488482,947,0.18944621219860147,0.1414460672186164,0.7087994834190807,0.8424293115463307
782,139129,0.14267091451328887,0.10510539970366387,0.829429918306921,0.9144339530879597,1040,0.19608197946265818,0.15105639006702132,0.6834999109424226,0.8269361059103354
