position_out,train_size,train_RMSE,train_MAE,train_R2,train_r,test_size,test_RMSE,test_MAE,test_R2,test_r
8,827,0.0819195442982777,0.05291207425413523,0.9310848825967033,0.9693728771876083,19,0.20550206988030242,0.1741732755578224,-0.08940534073686135,0.5097577632337865
27,827,0.11603844214161682,0.08444563678441876,0.86225827883059,0.955248462846922,19,0.1630403646988527,0.11999515031164425,0.17477211440137885,0.7083184305898159
29,827,0.092115986717258,0.06181445655772361,0.9137728861043513,0.9636667415281159,19,0.05166386982293979,0.04221800737631897,0.38618336896879724,0.8643484975393115
11,829,0.04656136065044508,0.026727691642800595,0.9778327049439849,0.9892957203547703,17,0.14909481064766214,0.10884621528816905,0.33360083370296945,0.7817656060477459
35,827,0.09480413603877166,0.06397504830110609,0.9086306832839808,0.9625804544710606,19,0.06748453354048989,0.04929720944809671,0.3406711999295682,0.5908596637895688
13,827,0.11109803265256636,0.07957102158915416,0.8745529395887479,0.9565190409216109,19,0.12742410629430867,0.09027172010608826,0.19553066314612155,0.6105007129037205
26,827,0.009056571618427356,0.0031711379988813484,0.9991590460939349,0.9995920366842788,19,0.09658288888371179,0.07339969547715242,-1.9017238695628724,0.40423329475784286
19,827,0.10332495108066014,0.07241134121644893,0.891422188410957,0.9586704690007124,19,0.041318252617528174,0.03532246330349601,0.34532312762705186,0.6658318844366834
21,827,0.04900560835776821,0.027713727674532028,0.9753951808737945,0.9881515848875887,19,0.1622138619605722,0.14527912727204242,0.23129406730624913,0.8559209603943033
38,827,0.026470572409851248,0.013596779193726873,0.992848878454024,0.9966007705155713,19,0.047077043658415446,0.03681282575720133,0.5510301659267447,0.7626926642193843
14,827,0.07625714450623818,0.04834564153883011,0.9404605128740953,0.9726421371781693,19,0.14155327425726183,0.08599242567289954,0.2170402468601953,0.6042231656560949
30,827,0.023851974176742105,0.011886047087626151,0.9941972195013123,0.997245433268616,19,0.052824896039224065,0.04346355528824002,0.7433958228914361,0.8939619528990391
37,827,0.04602155274496072,0.02594950719219914,0.9771916059820767,0.9890618870897616,19,0.16951273406653788,0.10947500618973133,0.2722003469343166,0.642116346880941
