gene_id,cut_percent,train_size,train_rmse,train_mae,train_r2,train_r,test_size,test_rmse,test_mae,test_r2,test_r
659,0.1,985,0.07317563462,0.05285773897,0.960105622,0.9837344168,247,0.2378272205,0.181788812,0.5683171534,0.7543593313
659,0.2,876,0.08182489337,0.06038830722,0.945338651,0.9781530356,219,0.1987567808,0.1539973493,0.6450245175,0.8054365981
659,0.3,766,0.05732391869,0.03995504414,0.9695030245,0.9879976129,192,0.1832899434,0.1461760104,0.672633726,0.8236320211
660,0.1,855,0.06103316084,0.04025245015,0.9594538924,0.9836814468,214,0.2123323035,0.1529647391,0.5539102905,0.7494644001
660,0.2,760,0.0308324624,0.01734880171,0.9856231615,0.9944423878,190,0.1806417397,0.1302740366,0.4406185722,0.6639358111
660,0.3,664,0.04479638988,0.02546442975,0.9541364077,0.984529331,167,0.185288046,0.135661266,0.4570658106,0.7089351794
587,0.1,752,0.04457389733,0.02891741171,0.9741334552,0.9897582996,188,0.1932746297,0.1371786914,0.5253107622,0.7251645892
587,0.2,668,0.06834927913,0.04616074704,0.9346135683,0.9736673675,168,0.1806352864,0.1286763949,0.5717496702,0.7566369384
587,0.3,584,0.06517803536,0.04219478105,0.9393108831,0.9750552624,147,0.1788071504,0.1308606956,0.5389020752,0.7393796192
948,0.1,902,0.1028398572,0.0765631962,0.9074762314,0.9625944262,226,0.2304568192,0.1806979392,0.5596686196,0.7495793732
948,0.2,802,0.01308905675,0.005643827729,0.9984331602,0.9993155754,201,0.2196435518,0.1701290978,0.563062413,0.75303067
948,0.3,702,0.08412044913,0.06154727758,0.9341151755,0.9730310075,176,0.211497032,0.1669030819,0.5396618171,0.7346215696
995,0.1,135,0.05446343828,0.03731803741,0.9605027778,0.9844676652,34,0.1660399145,0.1219440856,0.7138260428,0.8612263806
995,0.2,120,0.03271169769,0.02249830934,0.9785223176,0.9923081645,30,0.2114418136,0.15615138,0.5093456788,0.7921208499
995,0.3,104,0.1790187191,0.1195382048,0.3874759429,0.7872318209,27,0.0886615749,0.07324775157,0.2124839295,0.6103643923
888,0.1,724,0.0109877975,0.003992134585,0.9986765027,0.9994051555,181,0.1584254669,0.1204831886,0.7230035788,0.8514367438
888,0.2,643,0.01083027333,0.003084389256,0.9985877426,0.9993522904,161,0.1691681838,0.1231138325,0.6635383678,0.816066482
888,0.3,563,0.01116153237,0.002829429681,0.9984692409,0.9992883221,141,0.1541177644,0.1194577867,0.6332036142,0.7973630513
717,0.1,957,0.1327486562,0.1032794695,0.8301994734,0.9347960585,240,0.2488638813,0.1971475214,0.4549100101,0.6782463196
