gene_id,train_fraction,5nn-blosum100_any_pears,5nn-blosum100_3to5_pears,5nn-blosum100_5_pears
14,0.2,0.3574090628993937,0.42213370802945427,0.6170884326209924
16,0.2,0.32454056629396094,0.3626282123302711,0.5197443417676808
17,0.2,0.25408911961998204,0.3718548370493145,0.5563233348024206
21,0.2,0.22094666423549428,0.2711369826368404,0.37557459939698057
26,0.2,0.44408184173387133,0.36152749561670294,0.4466966394990856
61,0.2,0.5591282562627939,0.5235932836018545,0.37991603169009847
62,0.2,0.3021143778926569,0.48145341241362466,0.7960384243241919
64,0.2,0.3441736431013849,0.5954099478818864,0.20545269089423454
65,0.2,0.5388503261101755,0.6093290885336021,0.7440913658916547
66,0.2,0.3075274976677554,0.28840896315338,0.43430076699686465
67,0.2,0.361510245608286,0.3057589493405868,-0.07353760391179959
68,0.2,0.3588343069446958,0.4401110255717057,0.6846514312820112
69,0.2,0.5086527765036829,0.5286478745814487,0.5616584413589187
70,0.2,0.33109893668744916,0.0995137264712407,0.08967523797071192
71,0.2,0.2392140098416041,0.28885886457202975,0.43500724148909026
72,0.2,0.5045530586602173,0.6096663562981358,0.7919565723789204
73,0.2,0.4171504018222964,0.4743252396563693,0.43704981954892663
74,0.2,0.21459069779277906,0.12466022725297789,0.10546977662061041
75,0.2,0.5161852280412819,0.6292597525354046,-0.05333671434042874
76,0.2,0.30714856757102077,0.34292661375851946,0.2771673326306608
79,0.2,0.14577848759892537,0.007438633111084669,-0.1170596529278998
80,0.2,0.22193670659145426,0.2930409436686489,0.3176253251681035
81,0.2,0.26010858849101565,0.30321448788213157,0.25666151885543803
82,0.2,0.2928826104493531,0.3074145058408421,0.24246027957676564
83,0.2,0.17956470934496763,0.17110790907392048,0.18524780783304545
84,0.2,0.20517265290711117,0.16745949780584304,0.24169332214157327
85,0.2,0.2072828618022482,0.24460107966192401,0.26573138147807
92,0.2,0.36713774284002315,0.3656517416551828,0.35672062463496396
95,0.2,-0.026023840253108065,0.019022040356101638,0.41327444273139813
96,0.2,0.46654328602219264,0.48735073308188115,0.474880130367042
97,0.2,0.14525736335602027,0.20626219523678685,
99,0.2,0.7473662147507956,0.7839378476365806,0.9510472271373438
100,0.2,0.5289032873651206,0.52047389860604,0.512589391912274
104,0.2,0.5541923539665744,0.5137731944322834,0.2941654792817612
105,0.2,0.3624346881884979,0.37729239832409717,0.38598600882961237
107,0.2,0.6157249562272424,0.5826149779767229,0.4678935260144079
108,0.2,0.5347806234394896,0.6114870065649556,0.4055975647899685
109,0.2,0.5068700537136381,0.5613025535079476,0.6334391641972589
110,0.2,-0.19888207687218484,-0.17928652020796887,-0.1107750259126185
111,0.2,0.33908073416059714,0.4259757559550078,0.037212534335112575
112,0.2,0.513251025672617,-1.0,
113,0.2,0.4886768703080198,0.7289691149585795,
114,0.2,0.46061520283693613,0.8372769264010008,
115,0.2,0.0250702185488725,,
116,0.2,0.5097260645806142,0.4707413866777287,
117,0.2,0.29687957783067787,0.16511316741033494,
118,0.2,0.38908361401838704,-0.8414863759267608,
119,0.2,0.47314362769329577,0.6626162600589356,
120,0.2,0.450182853391741,0.27964043172010206,
121,0.2,,,
122,0.2,,,
123,0.2,0.20629442320341893,0.2067394220853095,0.2996944451674601
124,0.2,0.01763048155287075,0.09559785454393949,0.5141329882993765
125,0.2,0.08787804553318006,0.08488729518675335,-0.061017122406545776
127,0.2,0.6106831372702188,0.6077925797906385,0.6398929313227439
128,0.2,0.6102275897446435,0.6372832238458301,0.6378072778425967
130,0.2,0.7346880521694158,0.762608302507079,0.7390523667264762
132,0.2,0.043630204159577815,0.5371216676610491,
133,0.2,0.4493094625261452,0.49992007394139115,0.6954031641622377
135,0.2,0.2262678461681461,0.3008933999190959,0.09068643943190093
150,0.2,0.21061605258184063,0.05372101646502801,
161,0.2,0.3507179801887945,0.3886683622397012,
163,0.2,0.5122965505066102,0.5688044095637792,0.6430301351793712
164,0.2,0.4833720701931132,0.5554207573229412,0.5580462977182095
165,0.2,0.5350622607290443,0.5973805540203458,0.5996601220072331
194,0.2,-0.16627108459217207,-0.20987757699695345,0.3298287242861522
195,0.2,0.9189975873762399,,
197,0.2,0.49141295553689435,0.5442319503441175,0.5699823821905413
205,0.2,0.006791836672247746,0.006791836672247746,0.5932419932465764
206,0.2,0.07913610273672225,-0.05787412224805036,-0.2841064042495637
207,0.2,-0.008318582936153635,0.07882459980740217,0.23974785030042645
2,0.3,0.44728278868193433,0.3200948567669947,1.0
3,0.3,0.5327574131152274,0.5258828849763125,0.6429323945188562
6,0.3,0.5494919039249422,0.5533474977563502,0.6371218580040293
7,0.3,0.0569986641090742,0.04252784882576265,-0.006653738531480348
10,0.3,0.1252788446286274,0.1004766050099307,0.1095833439517141
