gene_id,train_fraction,5nn-functional_any_pears,5nn-functional_3to5_pears,5nn-functional_5_pears
120,0.1,0.3325308230278963,,
121,0.1,,,
122,0.1,,,
123,0.1,0.1253714287012267,0.11301438870835209,-0.32786901871516516
124,0.1,0.07179433705843331,0.283932736706211,
125,0.1,0.14414035568344893,0.2546399559217768,
127,0.1,0.5596074106341339,0.6196791328010687,0.20173972396057288
128,0.1,0.555676469163885,0.45064521524697576,0.23978267664355718
130,0.1,0.4558749902508787,0.45257658563575387,0.2190456846896901
132,0.1,0.25449390273160766,,
133,0.1,0.36110447418234215,0.28417314497422447,0.2626396899377215
135,0.1,0.29952126782971816,0.34947574446724483,
150,0.1,0.25087774497689436,,
161,0.1,0.3566123390739117,-1.0,
163,0.1,0.4817809966480859,0.5803705731327142,0.5496641647045319
164,0.1,0.4248232072123532,0.5667197607803258,0.5881899199917661
165,0.1,0.421289934394596,0.5217228449212652,0.6515232829976094
194,0.1,0.1539011364536186,-0.2305861786030288,
195,0.1,,,
197,0.1,0.3677295051399561,0.5572804907355741,0.24707104440364724
205,0.1,-0.22184260290286528,-0.3265989164511787,
206,0.1,0.45073136373900075,0.3803455837113791,
207,0.1,-0.11768338205379147,,
2,0.2,0.6076934821089679,1.0,
3,0.2,0.48702353891621325,0.6185951474693706,0.6545648678209552
6,0.2,0.47607859140966347,0.5197960421803066,0.3544577351913461
7,0.2,0.03340088359970518,0.07870562894372991,0.051139398650713534
10,0.2,0.0937511364679065,0.18552462411822215,0.10910124141565733
12,0.2,0.7181385226864764,0.7280101754217287,0.8576836881577574
14,0.2,0.34470448425941813,0.39536462773556325,0.56577225108069
16,0.2,0.34397844028155244,0.41060232547887,0.5465928202963248
17,0.2,0.2440396136124805,0.3790724318610233,0.550586652295101
21,0.2,0.22012002280924764,0.2841302611273995,0.3154145224586444
26,0.2,0.47234247739174684,0.42124504190604434,0.5313976713364401
61,0.2,0.5599004424717602,0.5249182805891834,0.3855263649506402
62,0.2,0.27767500341666645,0.46056357119397534,0.7960384243241919
